,dist_to_cbd
121,10.182910110672449
122,7.974174232743559
123,11.132895754711983
124,7.974174232743559
125,11.528060147372871
126,8.20012229942364
127,8.979082099938159
128,6.84529925234666
129,7.0768662188215306
130,7.0768662188215306
131,6.970032970806318
132,7.190486635531402
133,7.170653595224412
134,6.935490378194778
135,7.060308314692859
136,7.190486635531402
137,8.41060191578813
138,8.07726562785273
139,8.122265763084146
140,7.308958302503555
141,8.510552783373733
142,8.941484294897979
143,6.852404398953152
144,7.4009174150117545
145,8.07726562785273
146,8.114345987135046
147,6.77698283665796
148,14.36524960839325
149,13.720087857674905
150,14.027245431504983
151,13.750440297936464
152,13.6715517480094
153,13.013436448047225
154,12.801940986473115
155,12.758968837385334
156,13.888690124088336
157,13.06182829881474
158,14.182144431734772
159,12.801940986473115
160,13.064268219129527
161,12.786399771766176
162,14.110093689872258
163,13.875564508909516
164,12.663529651480546
165,14.082120134261503
166,12.798936884471106
167,13.915593184562816
168,14.110093689872258
169,12.529150762716661
170,14.046848073018722
171,13.96826084016078
172,13.6715517480094
173,12.205417651172782
174,12.715967098112271
175,12.841636971800988
176,12.40425892664686
177,14.296956221351303
178,13.217681949215416
179,13.748742493302714
180,13.597333300850199
181,13.176797445601666
182,14.10798720611065
183,14.270021120182088
184,13.546520815444016
185,13.299521296033122
186,13.16737760467782
187,14.226525414406604
188,13.261584086554127
189,13.737329749148046
190,13.563528281692253
191,12.424352998131253
192,14.102934715790557
193,13.71434215973253
194,12.123617156726295
195,2.122454370393305
196,2.207433691265867
197,4.85921027356505
198,2.755613127870538
199,3.393491565517282
200,2.249523641552053
201,3.531709598970537
202,3.4320963768801502
203,2.7206552356026097
204,2.627040658221065
205,2.6175074441519364
206,4.624722444635237
207,2.7206552356026097
208,4.48812439413094
209,3.332268200889811
210,2.627040658221065
211,4.728976852940758
212,2.605376891436788
213,2.7840680656180967
214,4.516723082111721
215,3.016089984233637
216,5.26562938182735
217,5.060631494528506
218,2.329529650185143
219,2.329529650185143
220,2.2696800240599813
221,2.5388680049794097
222,3.399132203050784
223,3.521700337853372
224,3.2999998147894902
225,2.8948334154048756
226,3.140466344478239
227,2.536692282469065
228,4.546552358951763
229,4.680091957936264
230,4.680091957936264
231,2.8122067058421933
232,2.705447282118076
233,5.126307493510455
234,5.126307493510455
235,5.126307493510455
236,3.0034900954440977
237,4.049898382703715
238,3.820361264509762
239,3.0034900954440977
240,3.0034900954440977
241,2.6450697554713014
242,5.126307493510455
243,3.2999998147894902
244,4.546552358951763
245,4.520059011789593
246,4.762060507717933
247,4.3250418283530925
248,4.771510951627163
249,2.2186621960375836
250,2.693083365981108
251,13.172458226969713
252,13.697006638841374
253,13.745971553408364
254,14.562884111479981
255,14.679852754465518
256,14.972570914307758
257,14.115032934519375
258,14.310432805054043
259,14.753313361451125
260,15.040030966366452
261,13.632579929323596
