,distance_to_mrt
395,0.4624535318875152
396,0.4536938315424841
397,0.158835998822572
398,0.1960859495518918
399,0.8088846716866626
400,0.1447511557845149
401,0.4218668083224157
402,0.4790416075911093
403,0.5002423269160824
404,0.2739938652092547
405,0.4019463729220401
406,0.6673283929492326
407,0.3134059504499245
408,0.6759028777266709
409,0.3404983389315443
410,0.2855005852403197
411,0.7271433986457055
412,0.3501535020988136
413,0.4166225492185551
414,0.3698635444530547
415,1.0605366450451543
416,0.7547629491481671
417,1.2356794900873678
418,0.6398754283851145
419,0.9926981359256728
420,0.9771637994909524
421,1.1206511998196764
422,0.6809196260600472
423,0.654475838832816
424,0.7361913406030293
425,0.7361913406030293
426,0.5908323827701498
427,0.7853583280922778
428,0.6919724369194797
429,0.6231220809177892
430,0.7856007648246657
431,0.7050088939309428
432,0.7751596731601164
433,0.7507403393374736
434,0.7017046214337974
435,0.8049763535838355
436,0.606064125597677
437,0.6681385675963708
438,0.8643952229789151
439,1.1391710783874385
440,0.686040225674133
441,1.097806649885934
442,0.6011719635403624
443,1.4500264628175743
444,0.5941605003248019
445,0.7515075943674215
446,0.8166220691390501
447,0.4361973434733129
448,0.9752985209806014
449,0.4513243718375999
450,0.4726408886026845
451,0.826702190749298
452,0.4391141578976745
453,0.5218717105365589
454,0.2824128354612791
455,1.1331829863477216
456,1.1215850397316962
457,1.4060962674397028
458,1.4879902848096058
459,0.9428315417618454
460,1.2533503611196406
461,0.8065769666422334
462,1.1747033744734172
463,1.1747033744734172
464,0.7684738367715862
465,1.0545980459844
466,1.1215850397316962
467,0.8127494703331084
468,1.519175899714227
469,1.3179118709611932
470,0.6807997777507693
471,1.09995788952556
472,1.0505672716334538
473,0.534130055420548
474,0.6779394025464918
475,0.2984492173702801
476,1.421443733199972
477,0.6389294131323968
478,1.154104882959595
479,0.4121657590019939
480,0.7026572785387837
481,1.664549149739447
482,1.3961016271363125
483,0.7115479871123197
484,0.8189381883725787
485,0.6243849857025922
486,1.664549149739447
487,0.951829292690445
488,1.018079248791803
489,1.636741600815953
490,0.4722391876399517
491,0.5240383455520413
492,0.4722391876399517
493,0.4275804015222457
494,0.5795004182611159
495,0.6500405749689656
496,0.8031455467157177
497,1.3407957643824162
498,0.5875898660114759
499,0.4976037932794323
500,0.8422476251996869
501,0.6605473067206311
502,0.9115310602977076
503,0.5069045275748076
504,1.1836189175455436
505,0.8768048967282122
506,1.1836189175455436
507,0.8965054258319095
508,0.9407902449012292
509,0.8104623150008402
510,0.8768048967282122
511,0.5229225454392424
512,1.7425396599239975
513,0.5161617784945717
514,0.481031315007757
515,0.3899038814491387
516,1.4546110561954204
517,0.3613672271094033
518,0.3844485784442207
519,1.0075386937792223
520,1.0743374455572268
521,0.92118966113314
522,1.2808677172917606
523,1.0507292475120786
524,1.04464710832382
525,1.1289955349045833
526,0.9661820158584964
527,1.264752408707324
528,1.124717971069351
529,0.9652993372930092
530,0.8834660166688832
531,1.124717971069351
532,0.224630335600072
533,0.7743421944626516
534,0.7743421944626516
535,0.3463645578348705
536,0.4201797177059926
537,0.2902229501480647
538,0.5274487792818405
539,0.943961781349054
540,1.218931935152862
541,1.0854662819678011
542,1.637200866709433
543,0.9102025068089088
544,1.0854662819678011
545,0.9497888040753696
546,1.4583781870384416
547,1.0667355345722416
548,0.9836060676822048
549,0.7481431011477865
550,1.1625194504129233
551,1.0768887223318826
552,1.079709146652004
553,1.8550142446821696
554,0.7583446511445912
555,1.0854662819678011
556,1.0935380126039522
557,0.9642018688083828
558,1.1089495917017664
